"","publish_date","content_title","content_url","type"
"34",2018-10-17,"基督教研究会公開講演会 『神義論の諸相——神と悪、または世界の不完全性の問題——』 開催について","https://www.doshisha.ac.jp/news/2018/1017/news-detail-6413.html","press"
"35",2018-10-16,"同志社大学 良心学研究センター 公開シンポジウム「良心学を展望する─『良心学入門』から見える世界」","https://www.doshisha.ac.jp/news/2018/1016/news-detail-6412.html","press"
"36",2018-10-15,"体育会アーチェリー部の西村かなえさん(商1)が、第57回全日本学生アーチェリー個人選手権大会の女子リカーブで優勝しました！！","https://www.doshisha.ac.jp/news/2018/1015/news-detail-6444.html","topics"
"37",2018-10-15,"体育会空手道部の清水那月さん（スポ健3）と尾立佳奈子さん（商2）が2018 FISU 世界大学空手道選手権大会で優勝しました！！","https://www.doshisha.ac.jp/news/2018/1015/news-detail-6407.html","topics"
"38",2018-10-15,"第1回ガールズラボを開催しました","https://www.doshisha.ac.jp/news/2018/1015/news-detail-6409.html","topics"
"39",2018-10-15,"なぜ科学者は不正に走るのか？豊富な事例で解説！ 講演会「研究者の立場で研究不正を考える」開催","https://www.doshisha.ac.jp/news/2018/1015/news-detail-6410.html","press"
"40",2018-10-09,"第91回日本生化学会大会において生命医科学研究科の安西聖敬さんが若手優秀発表賞を受賞しました。","https://www.doshisha.ac.jp/news/2018/1009/news-detail-6386.html","topics"
"41",2018-10-04,"ビジネス研究科所属の殷勇教授がBest Paper Awardを受賞しました。","https://www.doshisha.ac.jp/news/2018/1004/news-detail-6384.html","topics"
"42",2018-09-28,"第31回生物無機化学夏季セミナーで理工学研究科の毛 斉悦さんが学生ポスター賞を受賞しました","https://www.doshisha.ac.jp/news/2018/0928/news-detail-6353.html","topics"
"43",2018-09-28,"国立研究開発法人科学技術振興機構 女子中高生の理系進路選択プログラム 同志社大学「ガールズラボ」開催！","https://www.doshisha.ac.jp/news/2018/0928/news-detail-6354.html","press"
"44",2018-09-27,"京都コリア学コンソーシアム 特別講演会 「朝鮮半島の脱冷戦を考える」開催","https://www.doshisha.ac.jp/news/2018/0927/news-detail-6352.html","press"
"45",2018-09-13,"北海道胆振東部地震による被害へのお見舞いと特別措置について","https://www.doshisha.ac.jp/news/2018/0913/news-detail-6320.html","important"
"46",2018-09-13,"第73回日本体力医学会大会において，スポーツ健康科学部の加藤久詞助手が大塚スポーツ医・科学賞を受賞しました！","https://www.doshisha.ac.jp/news/2018/0913/news-detail-6343.html","topics"
"47",2018-09-13,"日本テクニカルアナリスト協会が同志社大に講座開設！","https://www.doshisha.ac.jp/news/2018/0913/news-detail-6325.html","press"
"48",2018-09-11,"平成30年8月30日からの大雨による被害へのお見舞いと特別措置について","https://www.doshisha.ac.jp/news/2018/0911/news-detail-6316.html","important"
"49",2018-09-07,"京阪電車連携イベント 「2018サークルステーション IN 三条」","https://www.doshisha.ac.jp/news/2018/0907/news-detail-6305.html","press"
"50",2018-09-07,"TALK LIVE 2018 三菱自動車 カルロス・ゴーン会長 -同志社大学生とグローバル・リーダーシップを語る-","https://www.doshisha.ac.jp/news/2018/0907/news-detail-6304.html","press"
"51",2018-09-05,"平成30年台風第7号及び前線等に伴う大雨（平成30年7月豪雨）の被害に関わる入学検定料の特別措置について（対象地域の追加）（2018年9月5日）","https://www.doshisha.ac.jp/news/2018/0905/news-detail-6197.html","important"
"52",2018-09-05,"平成30年台風第7号及び前線等に伴う大雨（平成30年7月豪雨）による被害に伴う学費等減免の特別措置について（対象地域の追加）（2018年9月5日）","https://www.doshisha.ac.jp/news/2018/0905/news-detail-6196.html","important"
"53",2018-08-30,"第19回 同志社大学OXFORD大学ヨット定期戦 ～国際交流と全日本インカレ優勝～","https://www.doshisha.ac.jp/news/2018/0830/news-detail-6284.html","press"
"54",2018-08-29,"ガールズサイエンスキャンプを開催しました","https://www.doshisha.ac.jp/news/2018/0829/news-detail-6280.html","topics"
"55",2018-08-24,"『入試ガイド2019』　大学入試センター試験を利用する入学試験　理工学部電気工学科、電子工学科の募集人数の訂正について【お詫びとお知らせ】","https://www.doshisha.ac.jp/news/2018/0824/news-detail-6263.html","important"
"56",2018-08-24,"プリンストン大学グローバルセミナーが京田辺校地にて実施されました","https://www.doshisha.ac.jp/news/2018/0824/news-detail-6273.html","topics"
"57",2018-08-22,"第41回日本神経科学大会において生命医科学研究科の村井凌さんがジュニア研究者ポスター賞を授賞しました。","https://www.doshisha.ac.jp/news/2018/0822/news-detail-6255.html","topics"
